Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:13, 2017-05-16 15:04:13,-87,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:12, 2017-05-16 15:04:12,-87,3, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:13, 2017-05-16 15:04:13,-88,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:15, 2017-05-16 15:04:15,-89,1, (not associated) ,TUDWeb,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:14, 2017-05-16 15:04:14,-90,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:05, 2017-05-16 15:04:05,-78,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:48, 2017-05-16 15:03:48,-79,3, (not associated) ,TUDWeb,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:49, 2017-05-16 15:03:50,-80,5, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:37, 2017-05-16 15:03:53,-80,3, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:53, 2017-05-16 15:03:53,-87,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:53, 2017-05-16 15:03:53,-87,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:52, 2017-05-16 15:03:52,-88,5, (not associated) ,xxx,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:52, 2017-05-16 15:03:52,-88,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:52, 2017-05-16 15:03:52,-90,2, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:40, 2017-05-16 15:03:40,-88,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:38, 2017-05-16 15:03:38,-88,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:26, 2017-05-16 15:03:26,-24,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:26, 2017-05-16 15:03:26,-89,4, (not associated) ,TUDWeb,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:25, 2017-05-16 15:03:25,-89,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:27, 2017-05-16 15:03:27,-92,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:14, 2017-05-16 15:03:14,-88,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:19, 2017-05-16 15:03:19,-88,3, (not associated) ,xxx,xxx,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:32, 2017-05-16 15:03:32,-86,3, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:33, 2017-05-16 15:03:33,-78,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:30, 2017-05-16 15:03:30,-76,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:34, 2017-05-16 15:03:34,-71,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:33, 2017-05-16 15:03:33,-70,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:22, 2017-05-16 15:03:42,-92,8, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:47, 2017-05-16 15:03:47,-90,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:42, 2017-05-16 15:03:42,-89,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:55, 2017-05-16 15:03:55,-87,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:55, 2017-05-16 15:03:55,-85,4, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:58, 2017-05-16 15:03:58,-81,5, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:11, 2017-05-16 15:04:11,-83,2, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:25, 2017-05-16 15:04:35,-99,13, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:34, 2017-05-16 15:04:34,-93,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:25, 2017-05-16 15:04:59,-92,4, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:24, 2017-05-16 15:04:24,-92,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:26, 2017-05-16 15:04:26,-91,3, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:34, 2017-05-16 15:04:34,-91,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:58, 2017-05-16 15:04:59,-91,4, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:04, 2017-05-16 15:05:04,-91,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:32, 2017-05-16 15:04:32,-90,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:50, 2017-05-16 15:04:50,-90,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:30, 2017-05-16 15:05:13,-90,8, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:49, 2017-05-16 15:05:07,-89,2, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:20, 2017-05-16 15:04:20,-89,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:38, 2017-05-16 15:04:39,-89,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:43, 2017-05-16 15:04:43,-89,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:43, 2017-05-16 15:04:43,-89,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:49, 2017-05-16 15:04:50,-89,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:08, 2017-05-16 15:05:08,-89,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:18, 2017-05-16 15:05:16,-89,13, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:17, 2017-05-16 15:05:02,-88,13, (not associated) ,xxx,
11:11:11:11:11:11, 2017-05-16 15:04:27, 2017-05-16 15:04:27,-88,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:40, 2017-05-16 15:04:40,-88,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:56, 2017-05-16 15:04:56,-88,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:29, 2017-05-16 15:05:16,-88,5, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:21, 2017-05-16 15:04:36,-87,2, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:58, 2017-05-16 15:04:58,-87,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:12, 2017-05-16 15:05:12,-87,9, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:59, 2017-05-16 15:05:10,-86,4, (not associated) ,XXX-WLAN,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:45, 2017-05-16 15:04:55,-86,5, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:23, 2017-05-16 15:04:24,-86,5, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:41, 2017-05-16 15:04:41,-86,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:04, 2017-05-16 15:05:04,-86,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:10, 2017-05-16 15:05:10,-86,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:17, 2017-05-16 15:05:17,-85,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:11, 2017-05-16 15:05:05,-85,8, (not associated) ,FRITZ!Box Fon WLAN xxxx,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:53, 2017-05-16 15:04:53,-85,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:05, 2017-05-16 15:05:05,-85,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:21, 2017-05-16 15:04:21,-84,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:46, 2017-05-16 15:04:46,-84,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:53, 2017-05-16 15:04:53,-83,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:05, 2017-05-16 15:05:05,-83,1, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:41, 2017-05-16 15:04:43,-81,7, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:35, 2017-05-16 15:04:36,-81,7, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:17, 2017-05-16 15:04:38,-81,3, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:24, 2017-05-16 15:05:23,-79,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:15, 2017-05-16 15:04:42,-80,9, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:03, 2017-05-16 15:05:03,-80,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:41, 2017-05-16 15:05:14,-79,9, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:35, 2017-05-16 15:05:09,-79,7, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:11, 2017-05-16 15:05:12,-76,4, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:12, 2017-05-16 15:05:06,-73,9, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:29, 2017-05-16 15:04:29,-67,2, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:29, 2017-05-16 15:04:30,-65,5, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:59, 2017-05-16 15:05:21,-55,13, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:22, 2017-05-16 15:04:22,-60,3, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:14, 2017-05-16 15:05:14,-58,4, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:43, 2017-05-16 15:04:43,-44,6, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:00, 2017-05-16 15:05:01,-40,5, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:41, 2017-05-16 15:04:41,-39,9, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:19, 2017-05-16 15:05:20,-85,2, (not associated) ,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:21, 2017-05-16 15:05:21,-89,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:22, 2017-05-16 15:05:22,-89,6, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:22, 2017-05-16 15:05:22,-90,1, (not associated) ,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:05:23, 2017-05-16 15:05:23,-93,1, (not associated) ,eduroam,,,,,,,,,
